Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.01,      0.01
Found 2D domains                                  ,      0.29,      0.28
Start 2D BC Array Sizes Domain_001                ,      0.34,      0.05
End 2D BC Array Sizes Domain_001                  ,      0.35,      0.01
Start Estry Setup s0                              ,      0.35,      0.00
End Estry Setup s0                                ,      0.35,      0.00
Start TUFLOW Setup s2                             ,      0.36,      0.01
End TUFLOW Setup s2                               ,      0.53,      0.17
Reading Geometry File Domain_001                  ,      0.57,      0.04
Start Read Grid Read GRID Zpts                    ,      0.58,      0.00
End Read Grid Read GRID Zpts                      ,      0.67,      0.09
Start Read Read GIS Code                          ,      0.67,      0.00
End Read Read GIS Code                            ,      0.68,      0.01
Finished Reading Geometry File Domain_001         ,      0.68,      0.00
Start Read input file (stage 2) Domain_001        ,      0.68,      0.00
End Read input file (stage 2) Domain_001          ,      0.71,      0.03
Identifying cells within user defined output zones,      0.71,      0.00
Finished Identifying cells within user defined out,      0.71,      0.00
Setting instability water levels Domain_001       ,      0.71,      0.00
Finished Setting instability water levels Domain_0,      0.71,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.72,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.72,      0.00
Start Reading Input File (Stage 3)                ,      0.72,      0.00
End Reading Input File (Stage 3)                  ,      0.72,      0.00
Reading Boundary File Domain_001                  ,      0.72,      0.01
Finished Reading Boundary File Domain_001         ,      0.81,      0.08
Initialising 2D Data (Stage 1) Domain_001         ,      0.82,      0.01
Finished Initialising 2D Data (Stage 1) Domain_001,      0.84,      0.01
Initialising 2D Data (Stage 2) Domain_001         ,      0.84,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.87,      0.03
Start Writing _grd_check                          ,      0.89,      0.02
End Writing _grd_check                            ,      1.73,      0.85
Start Writing _zpt_check                          ,      1.74,      0.00
End Writing _zpt_check                            ,      2.67,      0.93
Start Writing _uvpt_check                         ,      2.67,      0.00
End Writing _uvpt_check                           ,      3.45,      0.78
Start Writing check DEMs                          ,      4.65,      1.20
Start Calculating grid interpolation factors      ,      4.66,      0.00
End Calculating grid interpolation factors        ,      4.72,      0.07
End Writing check DEMs                            ,      4.77,      0.05
Start Calculating grid interpolation factors      ,      4.77,      0.00
End Calculating grid interpolation factors        ,      4.83,      0.06
Starting Simulation                               ,      4.86,      0.03
Summary File Close                                ,      4.86,      0.00
