"sfe_25 [F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\005\sfe_25.tcf]","Time (h)","V 1 [sfe_25]","V 2 [sfe_25]","V 3 [sfe_25]","V 4 [sfe_25]","V 5 [sfe_25]","V 6 [sfe_25]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           5,        0.066667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           6,        0.083333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           7,        0.100000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           8,        0.116667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           9,        0.133333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
          10,        0.150000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
          11,        0.166667,          0.4078,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
          12,        0.183333,          0.2245,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
          13,        0.200000,          0.2338,          0.4219,          0.0000,          0.0000,          0.0000,          0.0000
          14,        0.216667,          0.2487,          0.6262,          0.0000,          0.0000,          0.0000,          0.0000
          15,        0.233333,          0.2602,          0.7151,          0.5216,          0.0000,          0.0000,          0.0000
          16,        0.250000,          0.2662,          0.7570,          0.1290,          0.2502,          0.0000,          0.0000
          17,        0.266667,          0.2709,          0.7747,          0.0723,          0.4354,          0.3566,          0.0000
          18,        0.283333,          0.2733,          0.7691,          0.0512,          0.5320,          0.3231,          0.0000
          19,        0.300000,          0.2746,          0.7361,          0.0357,          0.7114,          0.3506,          0.0000
          20,        0.316667,          0.2753,          0.7004,          0.0282,          0.8144,          0.4946,          0.6653
          21,        0.333333,          0.2757,          0.6679,          0.0232,          0.8686,          0.5412,          0.8286
          22,        0.350000,          0.2760,          0.6415,          0.0200,          0.9080,          0.5645,          0.9031
          23,        0.366667,          0.2761,          0.6297,          0.0176,          0.9118,          0.5822,          0.9370
          24,        0.383333,          0.2762,          0.6229,          0.0159,          0.9281,          0.5941,          0.9568
          25,        0.400000,          0.2762,          0.6169,          0.0145,          0.9409,          0.6010,          0.9678
          26,        0.416667,          0.2764,          0.6139,          0.0133,          0.9488,          0.6054,          0.9746
          27,        0.433333,          0.2763,          0.6117,          0.0122,          0.9533,          0.6085,          0.9758
          28,        0.450000,          0.2763,          0.6105,          0.0114,          0.9453,          0.6107,          0.9789
          29,        0.466667,          0.2763,          0.6095,          0.0104,          0.9461,          0.6118,          0.9806
          30,        0.483333,          0.2763,          0.6090,          0.0097,          0.9476,          0.6125,          0.9816
          31,        0.500000,          0.2763,          0.6085,          0.0091,          0.9480,          0.6129,          0.9822
          32,        0.516667,          0.2763,          0.6083,          0.0084,          0.9482,          0.6133,          0.9827
          33,        0.533333,          0.2764,          0.6081,          0.0078,          0.9477,          0.6135,          0.9830
          34,        0.550000,          0.2763,          0.6080,          0.0073,          0.9479,          0.6136,          0.9832
          35,        0.566667,          0.2763,          0.6079,          0.0069,          0.9478,          0.6137,          0.9833
          36,        0.583333,          0.2763,          0.6078,          0.0067,          0.9478,          0.6137,          0.9833
          37,        0.600000,          0.2764,          0.6078,          0.0065,          0.9471,          0.6138,          0.9834
          38,        0.616667,          0.2763,          0.6078,          0.0061,          0.9471,          0.6138,          0.9835
          39,        0.633333,          0.2764,          0.6078,          0.0059,          0.9471,          0.6138,          0.9835
          40,        0.650000,          0.2763,          0.6077,          0.0058,          0.9471,          0.6139,          0.9835
          41,        0.666667,          0.2764,          0.6078,          0.0058,          0.9472,          0.6138,          0.9836
          42,        0.683333,          0.2763,          0.6078,          0.0055,          0.9471,          0.6138,          0.9835
          43,        0.700000,          0.2763,          0.6078,          0.0054,          0.9471,          0.6139,          0.9836
          44,        0.716667,          0.2764,          0.6077,          0.0053,          0.9471,          0.6138,          0.9836
          45,        0.733333,          0.2763,          0.6078,          0.0052,          0.9472,          0.6139,          0.9835
          46,        0.750000,          0.2763,          0.6077,          0.0051,          0.9472,          0.6139,          0.9835
          47,        0.766667,          0.2763,          0.6077,          0.0049,          0.9472,          0.6139,          0.9836
          48,        0.783333,          0.2763,          0.6077,          0.0049,          0.9471,          0.6138,          0.9835
          49,        0.800000,          0.2763,          0.6077,          0.0050,          0.9472,          0.6139,          0.9836
          50,        0.816667,          0.2764,          0.6077,          0.0048,          0.9472,          0.6139,          0.9835
          51,        0.833333,          0.2763,          0.6078,          0.0048,          0.9472,          0.6138,          0.9836
          52,        0.850000,          0.2763,          0.6078,          0.0049,          0.9472,          0.6138,          0.9835
          53,        0.866667,          0.2763,          0.6077,          0.0047,          0.9472,          0.6139,          0.9836
          54,        0.883333,          0.2764,          0.6077,          0.0049,          0.9471,          0.6139,          0.9836
          55,        0.900000,          0.2763,          0.6077,          0.0048,          0.9472,          0.6138,          0.9836
          56,        0.916667,          0.2763,          0.6077,          0.0049,          0.9472,          0.6139,          0.9836
          57,        0.933333,          0.2763,          0.6077,          0.0046,          0.9472,          0.6139,          0.9835
          58,        0.950000,          0.2763,          0.6077,          0.0046,          0.9472,          0.6139,          0.9836
          59,        0.966667,          0.2764,          0.6078,          0.0046,          0.9471,          0.6139,          0.9835
          60,        0.983333,          0.2763,          0.6078,          0.0046,          0.9472,          0.6138,          0.9835
          61,        1.000000,          0.2763,          0.6077,          0.0047,          0.9472,          0.6139,          0.9836
          62,        1.016667,          0.2764,          0.6077,          0.0047,          0.9472,          0.6138,          0.9836
          63,        1.033333,          0.2763,          0.6077,          0.0045,          0.9472,          0.6139,          0.9835
          64,        1.050000,          0.2763,          0.6077,          0.0047,          0.9472,          0.6139,          0.9836
          65,        1.066667,          0.2763,          0.6077,          0.0047,          0.9471,          0.6138,          0.9836
          66,        1.083333,          0.2763,          0.6077,          0.0046,          0.9472,          0.6139,          0.9835
